中文品名,申請商名稱,申請商電話,產地
保佳兆-葉黃素草本錠,得恩貿易有限公司,06-2251933,美國
善存 葉黃素 20MG,美商百豐生醫股份有限公司,02-28097979,美國
葉黃素+紅藻萃取蝦紅素膠囊,嵩亮國際企業股份有限公司,02-23773077,美國
明耀葉黃素第二代膠囊,萬寧生物科技股份有限公司,02-26921589,美國
新樂康葉黃素膠囊食品,德效國際有限公司,03-3219568,日本
超級綜合維生素礦物質加葉黃素,好市多股份有限公司,02-87919988,美國
美國斯旺森特級葉黃素,景崵國際有限公司,02-26238961,美國
杏霖晶彩葉黃素膠囊,杏霖藥業股份有限公司,04-22428678,美國
美國葉黃素 80% 萃取液態軟膠囊,唯康生物科技有限公司,0226925734,美國
綜合維生素礦物質加葉黃素錠,好市多股份有限公司,02-87919988,美國
吾維康葉黃素複合膠囊,博士倫股份有限公司,02-81619233,美國
六鵬高單位金盞草萃取葉黃素 (食品),六鵬貿易股份有限公司,02-29588790,美國
野口研究極品金盞花葉黃素,金壕興業股份有限公司,02-25775772,日本
精純-葉黃素 30MG 膠囊,唯康生物科技有限公司,0226925734,美國
藍鑽金盞花葉黃素軟膠囊,營養生活健康有限公司,02-26988657,美國
山桑子+萬壽菊葉黃素 EX,福陞環球貿易有限公司,07-3508400,日本
精明第三代葉黃素 30 膠囊食品,德效國際有限公司,03-3219568,日本
金盞花葉黃素軟膠囊,龍辰洲際貿易有限公司,02-27712928,德國
保佳兆-葉黃素軟膠囊,得恩貿易有限公司,06-2251933,美國
博士倫晴綻藍莓葉黃素膠囊,博士倫股份有限公司,02-81619233,日本
葉黃素20毫克複合膠囊食品,好市多股份有限公司,02-87919988,美國
超級葉黃素游離型複方軟膠囊,台灣恩斯艾國際有限公司,04-22924783,美國
DHC 金盞花萃取物葉黃素‧膠囊食品,台灣蝶翠詩化粧品股份有限公司,02-27693666,日本
游離型超級葉黃素 6MG 軟膠囊,台灣恩斯艾國際有限公司,04-22924783,美國
游離型超級葉黃素+山桑子軟膠囊,台灣恩斯艾國際有限公司,04-22924783,美國
葉黃素 20 毫克複合軟膠囊,好市多股份有限公司,02-87919988,美國
必賜力專利型葉黃素膠囊,特德寶有限公司,03-3116516,美國
全日營養金盞花萃取葉黃素膠囊,金壕興業股份有限公司,02-25775772,日本
山桑子葉黃素複方錠劑,澳商塔斯曼股份有限公司台灣分公司,04-22541003,澳大利亞
游離型超級葉黃素 20MG 軟膠囊,台灣恩斯艾國際有限公司,04-22924783,美國
艾多美 膠囊葉黃素30,艾多美股份有限公司,07-5868501,日本
康萃生複方葉黃素錠,台灣保立康藥業有限公司,03-5897540,美國
葉黃素+玉米黃素 V 軟膠囊食品,生匯貿易有限公司,07-3958388,美國
新葉黃素第二代膠囊,唯康生物科技有限公司,0226925734,美國
新歐克明葉黃素錠,台灣保立康藥業有限公司,03-5897540,美國
LOVITA 愛維他金盞花萃取物 (含葉黃素) 膠囊食品,森宏生技股份有限公司,02-27893258,美國
吾維康魚油葉黃素複合膠囊,博士倫股份有限公司,02-81619233,美國
佳明葉黃素錠狀食品,德效國際有限公司,03-3219568,日本
藍鑽金盞花葉黃素,營養生活健康有限公司,02-26988657,美國
中旗樂活葉黃素膠囊,萬寧生物科技股份有限公司,02-26921589,美國
保適明葉黃素膠囊,唯康生物科技有限公司,0226925734,美國
複方葉黃素加強膠囊,嵩亮國際企業股份有限公司,02-23773077,美國
晶亮金盞花萃取物 (含葉黃素) 複方膠囊,中化裕民健康事業股份有限公司,02-23124784,日本
複方葉黃素加強膠囊,嵩亮國際企業股份有限公司,02-23773077,美國
健寶恆葉黃素,集庫股份有限公司,02-25417375,韓國
美康葉黃素軟膠囊,萬寧生物科技股份有限公司,02-26921589,美國
小飛跑®QQ球 (海藻 DHA+專利葉黃素),台灣開廣股份有限公司,02-29185336,美國
欣樂明葉黃素軟膠囊食品,頂生國際股份有限公司,02-26085588,美國
至高葉黃素軟膠囊,功益貿易股份有限公司,02-25589890,美國
健美生金盞花萃取葉黃素軟膠囊,雄恆行股份有限公司,02-5029223,加拿大
維麗明葉黃素複方膠囊,加美康企業有限公司,02-25580686,美國
越橘&葉黃素&鋅~軟膠囊,璟騰國際股份有限公司,02-26989968,美國
FLORAGLO 葉黃素植物性膠囊,陽光日子實業社,0919837105,美國
保適明葉黃素膠囊,萬寧生物科技股份有限公司,02-26921589,美國
愛司盟舒視明葉黃素草本錠,營養生活健康有限公司,02-26988657,美國
CRYSTAL CLEAR 5000 PLUS 白金山桑子&葉黃素,豐納實業股份有限公司,02-25365391,澳大利亞
晶亮金盞花膠囊含葉黃素,永旺福國際有限公司,02-25288200,美國
健康卓越亮力葉黃素軟膠囊,健康卓越有限公司,02-27372247,日本
